ID,WorkPath,Statement
1,Machine learning,Saya dapat melakukan klasifikasi menggunakan support vector machines.
2,Data Analis,Saya menganalisis kumpulan data yang besar untuk menemukan wawasan dan tren yang bermakna
3,Apoteker,Saya memastikan pemberian obat yang aman dan akurat kepada pasien
4,Bartender,Saya membuat koktail yang unik dan lezat yang memuaskan selera pelanggan
5,Arsitek,Saya merancang ruang yang inovatif dan fungsional yang memenuhi kebutuhan dan aspirasi klien
6,Koki,"Saya menciptakan mahakarya kuliner dengan memadukan rasa, tekstur, dan bahan"
7,Copy Writter,Saya membuat konten tertulis yang persuasif dan menarik yang menarik perhatian audiens target
8,Desainer Grafis,Saya membuat desain yang memukau secara visual dan berdampak yang secara efektif mengkomunikasikan pesan dan memikat audiens
9,Desainer Interior,"Saya menciptakan ruang interior yang fungsional dan menarik secara visual yang mencerminkan selera, kebutuhan, dan gaya hidup klien"
10,Editor Film,Saya mengedit dan menyatukan rekaman dengan cermat untuk menciptakan narasi visual yang kohesif dan menarik
11,Insinyur Sipil,"Saya merancang dan mengawasi pembangunan proyek infrastruktur, memastikan keamanan, fungsionalitas, dan keberlanjutannya"
12,Fotografer,Saya menangkap dan menciptakan cerita visual yang menarik melalui fotografi saya
13,Dosen,Saya memberikan pengetahuan dan menginspirasi siswa melalui kuliah yang menarik dan informatif
14,Konsultan IT,Saya memberikan saran dan solusi ahli kepada klien tentang berbagai masalah dan tantangan terkait TI
15,Pengacara,Saya memberikan nasihat hukum dan perwakilan kepada klien dalam berbagai masalah hukum
16,Pemasaran Digital,Saya mengembangkan dan menerapkan strategi pemasaran digital untuk meningkatkan visibilitas online dan kesadaran merek
17,Administrator Media Sosial,Saya mengelola dan mengkurasi akun media sosial untuk meningkatkan kehadiran dan keterlibatan merek
18,Pedagang,"Saya mengelola dan mengoperasikan bisnis pedagang, menjual produk atau layanan kepada pelanggan"
19,Penari,Saya mengekspresikan diri saya melalui gerakan dan menciptakan pertunjukan yang menawan
20,Aktor,Saya menghidupkan karakter dan membenamkan diri dalam emosi dan pengalaman mereka
21,Dokter Gigi,"Saya memberikan perawatan gigi yang komprehensif kepada pasien, dengan fokus pada kesehatan dan kebersihan mulut"
22,Montir Mobil,Saya mendiagnosis dan memperbaiki masalah otomotif untuk memastikan kinerja kendaraan yang optimal
23,Dokter Hewan,Saya memberikan perawatan hewan yang penuh kasih dan komprehensif untuk hewan dari semua ukuran dan spesies
24,Analis Saham,Saya menganalisis dan mengevaluasi saham dan sekuritas untuk memberikan rekomendasi investasi
25,Pilot,Saya mengoperasikan dan menavigasi pesawat untuk memastikan penerbangan yang aman dan efisien
26,Teknisi Pesawat Terbang,Saya membantu dalam pengoperasian dan pemantauan sistem pesawat selama penerbangan
27,Pustakawan,Saya mengelola sumber daya perpustakaan dan memfasilitasi akses informasi bagi pelanggan perpustakaan
28,Pemimpin Redaksi,Saya mengawasi dan memimpin tim editorial untuk memastikan produksi konten berkualitas tinggi
29,Teller Bank,Saya membantu pelanggan dengan transaksi dan pertanyaan perbankan mereka
30,Reporter,Saya mengumpulkan dan menyelidiki berita dari berbagai sumber
31,Jurnalis,Saya mengumpulkan dan menyelidiki berita dari berbagai sumber
32,Tukang Kayu,Saya berspesialisasi dalam proyek pertukangan dan konstruksi
33,Manajer Penjualan, Saya dapat memimpin tim penjualan dan mendorong pertumbuhan pendapatan
34,Penasihat Keuangan, Saya dapat memberikan panduan keuangan dan merekomendasikan opsi investasi
35,Koordinator Proyek, Saya dapat membantu dalam perencanaan dan pelaksanaan proyek
36,Insinyur Perangkat Lunak, Saya dapat mengembangkan aplikasi perangkat lunak menggunakan bahasa pemrograman
37,Koordinator Pemasaran, Saya dapat mengimplementasikan kampanye pemasaran dan menganalisis tren pasar
38,Asisten Administrasi, Saya dapat memberikan dukungan administratif dan mengatur jadwal
39,Asisten Eksekutif, Saya dapat mendukung eksekutif tingkat tinggi dan menangani informasi rahasia
40,Asisten Penelitian, Saya dapat membantu dalam melakukan penelitian dan menganalisis temuan
41,Penulis Teknis, Saya dapat membuat dokumentasi teknis yang jelas dan ringkas
42,Ilmuwan Data, Saya dapat menganalisis kumpulan data yang kompleks dan mengembangkan model prediktif
43,Manajer Operasional, Saya dapat mengawasi operasi harian dan mengoptimalkan proses
44,Manajer Pemasokan Barang, Saya dapat mengoordinasikan arus barang dan jasa serta mengelola inventaris
45,Manajer Penjaminan Pelangan, Saya dapat membangun hubungan yang kuat dengan pelanggan dan memastikan kepuasan mereka
46,Analis Jaminan Kualitas, Saya dapat menguji aplikasi perangkat lunak dan memastikan kualitas produk
47,Administrator Sistem, Saya dapat mengelola dan memelihara sistem dan jaringan komputer
48,Administrator Basis Data, Saya dapat merancang dan mengelola basis data
49,Insinyur Jaringan, Saya dapat merancang dan memelihara jaringan komputer
50,Desainer Antarmuka Pengguna, Saya dapat membuat antarmuka yang ramah pengguna dan menarik secara visual
51,Pembuat Content,Saya dapat menghasilkan konten yang menarik dan informatif
52,Brand Manager, Saya dapat mengembangkan dan mempertahankan identitas dan reputasi merek
53,Koordinator Acara, Saya dapat merencanakan dan mengatur acara
54,Koordinator SDM, Saya dapat membantu dalam fungsi sumber daya manusia
55,Rekruter, Saya dapat mengidentifikasi dan merekrut talenta terbaik
56,Analisis Riset Pasar,Saya dapat melakukan riset pasar dan menganalisis data
57,Pekerja Sosial, Saya dapat mendukung individu dan komunitas yang membutuhkan
58,Pelatih Pribadi, Saya dapat membuat program kebugaran yang disesuaikan dan memberikan pelatihan
59,Penjamin Asuransi, Saya dapat menilai risiko dan menentukan cakupan asuransi
60,Perencana Keuangan, Saya dapat membuat rencana keuangan yang dipersonalisasi untuk individu dan bisnis
61,Direktur Seni, Saya dapat mengawasi aspek visual dari proyek-proyek kreatif
62,Seniman Multimedia, Saya dapat membuat media visual dan interaktif
63,Desainer Industri, Saya dapat mendesain produk yang fungsional dan menyenangkan secara estetika
64,Insinyur Arsitektur, Saya dapat merancang dan menganalisis struktur
65,Insinyur Mesin, Saya dapat merancang dan mengembangkan sistem dan perangkat mekanis
66,Insinyur Dirgantara, Saya dapat merancang dan menguji pesawat terbang dan pesawat ruang angkasa
67,Ilmuwan Lingkungan, Saya dapat mempelajari dan melindungi lingkungan
68,Ilmuwan Geologi, Saya dapat mempelajari struktur dan sejarah bumi
69,Insinyur Geoteknik, Saya dapat menganalisis sifat tanah dan batuan untuk proyek-proyek konstruksi
70,Insinyur Pertanian, Saya dapat mengembangkan dan meningkatkan peralatan dan proses pertanian
71,Ilmuwan Pangan, Saya dapat mempelajari dan mengembangkan produk dan proses makanan
72,Kimiawan, Saya dapat mempelajari dan menganalisis zat kimia
73,Ilmuwan Biologi, Saya dapat mempelajari organisme hidup dan interaksinya
74,Ilmuwan Hewan, Saya dapat mempelajari hewan dan perilaku mereka
75,Pembantu Dokter Hewan, Saya dapat membantu dokter hewan dalam merawat hewan
76,Bankir Investasi,Saya dapat memberikan nasihat keuangan dan melakukan transaksi investasi
77,Analisis Operasional, Saya dapat menganalisis data operasional dan mengidentifikasi area yang perlu ditingkatkan
78,Manajer Risiko, Saya dapat mengidentifikasi dan mengelola potensi risiko bagi organisasi
79,Peneliti Pengalaman Pengguna, Saya dapat melakukan riset pengguna untuk meningkatkan pengalaman pengguna
80,Spesialis SEO, Saya dapat mengoptimalkan situs web untuk meningkatkan peringkat mesin pencari
81,Manajer Pemasaran Konten, Saya dapat mengembangkan dan menerapkan strategi pemasaran konten
82,Manajer Layanan Pelanggan, Saya dapat mengawasi operasi layanan pelanggan dan memastikan kepuasan pelanggan
83,Manajer TI, Saya dapat mengelola sistem dan infrastruktur TI untuk sebuah organisasi
84,Manajer Pengembangan Bisnis, Saya dapat mengidentifikasi peluang pertumbuhan dan mengembangkan kemitraan bisnis
85,Manajer Produk, Saya dapat mengawasi pengembangan dan peluncuran produk baru
86,Koordinator Penelitian Klinis, Saya dapat mengkoordinasikan dan mengelola studi penelitian klinis
87,Praktisi Keperawatan, Saya dapat memberikan asuhan keperawatan tingkat lanjut dan mendiagnosis penyakit
88,Asisten Dokter, Saya dapat memberikan perawatan medis di bawah pengawasan dokter
89,Ahli Bedah, Saya dapat melakukan prosedur bedah
90,Radiolog, Saya dapat menginterpretasikan pencitraan medis untuk mendiagnosis dan mengobati penyakit
91,Ilmuwan Forensik, Saya dapat menganalisis dan menafsirkan bukti untuk penyelidikan hukum
92,Petugas Polisi, Saya dapat menegakkan hukum dan menjaga keamanan publik
93,Pemadam Kebakaran, Saya dapat merespons kebakaran dan keadaan darurat untuk melindungi nyawa dan properti
94,Pustakawan, Saya dapat mengelola dan menyediakan akses ke sumber daya perpustakaan
95,Kurator Museum, Saya dapat mengelola dan mengkurasi koleksi museum
96,Konservator Seni, Saya dapat melestarikan dan merestorasi karya seni
97,Stilis Mode, Saya dapat membuat dan mengoordinasikan penampilan modis untuk individu atau acara
98,Kepala Koki, Saya dapat mengawasi operasi dapur dan menciptakan mahakarya kuliner
99,Asisten Koki, Saya dapat membantu kepala koki dalam persiapan makanan dan manajemen dapur
100,Ahli Wine, Saya dapat memberikan keahlian dalam pemilihan dan layanan anggur
101,Analis Bisnis,Saya dapat menganalisis proses bisnis dan merekomendasikan perbaikan
102,Analis Keuangan, Saya dapat menganalisis data keuangan dan memberikan wawasan untuk pengambilan keputusan
103,Manajer Sumber Daya Manusia," Saya dapat mengawasi fungsi SDM, termasuk rekrutmen dan hubungan karyawan"
